Date,Region,Product,Quantity,Unit_Price
2026-08-21,North,Laptop,10,999.99
2026-08-17,West,Monitor,7,199.99
2026-08-12,West,Keyboard,15,45.0
2026-08-13,East,Laptop,9,999.99
2026-08-17,East,Mouse,15,25.5
2026-08-16,East,Mouse,5,25.5
2026-08-25,East,Mouse,8,25.5
2026-09-05,North,Laptop,4,999.99
2026-08-08,East,Headset,4,75.0
2026-09-05,South,Mouse,12,25.5
2026-08-09,South,Keyboard,1,45.0
2026-08-13,West,Monitor,7,199.99
2026-08-10,East,Keyboard,8,45.0
2026-09-05,South,Laptop,8,999.99
2026-08-16,East,Keyboard,14,45.0
2026-08-14,East,Mouse,7,25.5
2026-08-07,North,Keyboard,9,45.0
2026-08-19,West,Mouse,14,25.5
2026-09-02,West,Mouse,2,25.5
2026-08-23,North,Laptop,5,999.99
2026-08-07,East,Headset,15,75.0
2026-08-11,North,Headset,4,75.0
2026-08-15,East,Laptop,12,999.99
2026-08-09,North,Headset,8,75.0
2026-09-05,North,Mouse,12,25.5
2026-08-13,South,Laptop,8,999.99
2026-08-27,East,Monitor,11,199.99
2026-08-26,North,Keyboard,11,45.0
2026-08-10,East,Keyboard,4,45.0
2026-08-10,East,Headset,1,75.0
2026-08-26,West,Mouse,14,25.5
2026-08-16,North,Mouse,4,25.5
2026-08-24,South,Monitor,11,199.99
2026-09-01,East,Mouse,12,25.5
2026-08-20,North,Mouse,6,25.5
2026-08-23,South,Headset,3,75.0
2026-08-11,North,Mouse,2,25.5
2026-08-30,West,Monitor,14,199.99
2026-08-31,West,Keyboard,3,45.0
2026-09-03,South,Headset,13,75.0
2026-08-29,North,Keyboard,13,45.0
2026-08-31,South,Keyboard,9,45.0
2026-08-20,East,Mouse,14,25.5
2026-09-03,South,Keyboard,4,45.0
2026-08-24,South,Mouse,1,25.5
2026-08-26,North,Keyboard,10,45.0
2026-08-27,South,Headset,9,75.0
2026-08-21,West,Monitor,14,199.99
2026-08-12,South,Monitor,4,199.99
2026-09-03,East,Mouse,5,25.5
2026-08-10,North,Headset,6,75.0
2026-08-11,West,Monitor,2,199.99
2026-08-27,South,Keyboard,13,45.0
2026-08-22,West,Monitor,3,199.99
2026-08-25,North,Mouse,4,25.5
2026-09-05,North,Keyboard,1,45.0
2026-08-19,North,Keyboard,4,45.0
2026-08-07,East,Mouse,15,25.5
2026-08-23,West,Keyboard,11,45.0
2026-08-10,North,Keyboard,11,45.0
2026-09-05,South,Keyboard,5,45.0
2026-08-31,West,Keyboard,15,45.0
2026-09-05,South,Laptop,11,999.99
2026-08-31,West,Mouse,3,25.5
2026-08-29,North,Monitor,14,199.99
2026-08-16,East,Monitor,4,199.99
2026-08-11,East,Monitor,1,199.99
2026-08-24,East,Keyboard,10,45.0
2026-08-27,South,Monitor,11,199.99
2026-09-05,East,Mouse,1,25.5
2026-08-17,East,Monitor,2,199.99
2026-08-10,South,Laptop,5,999.99
2026-08-25,North,Laptop,10,999.99
2026-08-07,North,Monitor,8,199.99
2026-08-21,West,Laptop,5,999.99
2026-08-12,North,Headset,8,75.0
2026-08-10,West,Mouse,5,25.5
2026-08-19,North,Keyboard,10,45.0
2026-08-22,South,Headset,9,75.0
2026-08-22,East,Laptop,2,999.99
2026-08-07,East,Monitor,8,199.99
2026-08-28,West,Mouse,14,25.5
2026-09-01,South,Headset,10,75.0
2026-08-25,East,Keyboard,9,45.0
2026-08-20,South,Keyboard,3,45.0
2026-08-29,South,Keyboard,1,45.0
2026-08-08,East,Mouse,8,25.5
2026-08-17,South,Headset,15,75.0
2026-08-14,East,Monitor,10,199.99
2026-09-03,South,Mouse,4,25.5
2026-08-10,East,Mouse,13,25.5
2026-09-04,West,Monitor,1,199.99
2026-08-22,West,Keyboard,8,45.0
2026-08-09,East,Laptop,12,999.99
2026-09-02,South,Monitor,6,199.99
2026-09-06,North,Headset,10,75.0
2026-08-26,South,Headset,4,75.0
2026-09-06,South,Headset,1,75.0
2026-08-13,North,Mouse,14,25.5
2026-09-02,South,Headset,2,75.0
2026-08-14,North,Mouse,4,25.5
2026-08-24,East,Monitor,4,199.99
2026-08-17,North,Monitor,3,199.99
2026-08-23,West,Mouse,2,25.5
2026-08-16,South,Headset,3,75.0
2026-08-19,South,Laptop,4,999.99
2026-08-21,North,Mouse,8,25.5
2026-08-21,North,Monitor,8,199.99
2026-08-28,West,Laptop,3,999.99
2026-09-03,North,Monitor,10,199.99
2026-08-16,East,Laptop,9,999.99
2026-08-12,North,Monitor,8,199.99
2026-08-17,North,Mouse,4,25.5
2026-09-01,East,Headset,1,75.0
2026-08-12,South,Monitor,2,199.99
2026-08-13,North,Keyboard,14,45.0
2026-08-27,South,Laptop,12,999.99
2026-08-19,South,Monitor,1,199.99
2026-08-13,East,Monitor,7,199.99
2026-08-13,East,Laptop,11,999.99
2026-08-14,East,Headset,8,75.0
2026-08-20,South,Mouse,11,25.5
2026-08-17,North,Headset,6,75.0
2026-08-18,West,Keyboard,14,45.0
2026-09-05,East,Laptop,9,999.99
2026-08-25,East,Monitor,4,199.99
2026-08-31,East,Headset,14,75.0
2026-08-15,South,Monitor,9,199.99
2026-08-10,East,Monitor,1,199.99
2026-08-11,North,Monitor,10,199.99
2026-08-12,East,Keyboard,15,45.0
2026-08-23,South,Headset,15,75.0
2026-08-21,South,Keyboard,10,45.0
2026-09-03,West,Keyboard,2,45.0
2026-09-01,East,Monitor,10,199.99
2026-08-15,South,Mouse,10,25.5
2026-08-31,North,Keyboard,7,45.0
2026-09-05,East,Monitor,11,199.99
2026-08-13,West,Monitor,11,199.99
2026-08-09,North,Monitor,9,199.99
2026-08-18,West,Monitor,11,199.99
